campaign_id,campaign_name,build_id,collection_name,is_rail_item,rail_name,rail_position,collection_position,product_name,brand,product_url,external_id,price,currency,stock_status,observed_at,annotation
almost-fall-2026,Almost Fall,b006,Candles & Home Fragrance,FALSE,,,23,Roma Heirloom Tomato Candle,Flamingo Estate,https://flamingoestate.com/products/roma-heirloom-tomato-soy-wax-candle,,64.0,USD,in_stock,2026-07-18,
almost-fall-2026,Almost Fall,b006,Candles & Home Fragrance,FALSE,,,24,Sweet Grapefruit Standard Candle,P.F. Candle Co,https://pfcandleco.com/products/sweet-grapefruit-standard-candle,,24,USD,in_stock,2026-06-06,
almost-fall-2026,Almost Fall,b006,Candles & Home Fragrance,FALSE,,,25,Teakwood & Tobacco Standard Candle,P.F. Candle Co,https://pfcandleco.com/products/teakwood-tobacco-standard-candle,,24,USD,in_stock,2026-07-19,
almost-fall-2026,Almost Fall,b006,Candles & Home Fragrance,FALSE,,,26,Wild Herb Tonic Standard Candle,P.F. Candle Co,https://pfcandleco.com/products/wild-herb-tonic-standard-candle,,24,USD,in_stock,2026-06-06,
almost-fall-2026,Almost Fall,b006,Decorative Accents,TRUE,"Brown, in objects",1,1,Aurora Sphere Vase,Hawkins New York,https://hawkinsnewyork.com/products/aurora-sphere-vase-collection-smoke,,70.2,USD,in_stock,2026-08-10,
almost-fall-2026,Almost Fall,b006,Decorative Accents,TRUE,"Brown, in objects",2,2,Banded Glass Vase,East Fork,https://eastfork.com/products/banded-glass-vase,,48.0,USD,in_stock,2026-08-10,
almost-fall-2026,Almost Fall,b006,Decorative Accents,TRUE,"Brown, in objects",3,3,Brass Bowl Candle Holder,Hawkins New York,https://hawkinsnewyork.com/products/brass-bowl-candle-holder,,44.0,USD,in_stock,2026-08-10,
almost-fall-2026,Almost Fall,b006,Decorative Accents,TRUE,"Brown, in objects",4,4,Bulb Vase,East Fork,https://eastfork.com/products/bulb-vase,,70.0,USD,in_stock,2026-08-10,
almost-fall-2026,Almost Fall,b006,Decorative Accents,TRUE,"Brown, in objects",5,5,Aer Vase,Audo Copenhagen,https://us.audocph.com/products/aer-vase,,155,USD,in_stock,2026-06-06,
almost-fall-2026,Almost Fall,b006,Decorative Accents,TRUE,"Brown, in objects",6,6,Bowl Candle Holder,Ferm Living,https://fermliving.us/products/bowl-candle-holder-ceramic-large,,105,USD,in_stock,2026-06-06,
almost-fall-2026,Almost Fall,b006,Decorative Accents,TRUE,"Brown, in objects",7,7,Bowl Candle Holder — Large — Ceramic,Ferm Living,https://fermliving.us/products/bowl-candle-holder-ceramic-large,,105.0,USD,in_stock,2026-07-18,
almost-fall-2026,Almost Fall,b006,Decorative Accents,TRUE,"Brown, in objects",8,8,Cairns Vase,Lulu & Georgia,https://www.luluandgeorgia.com/products/cairns-vase,,58,USD,in_stock,2026-06-07,
almost-fall-2026,Almost Fall,b006,Decorative Accents,TRUE,"Brown, in objects",9,9,Colorblock Confetti Glass Vase,Misette,https://www.misettetable.com/products/colorblock-confetti-glass-vase,,275,USD,in_stock,2026-06-07,
almost-fall-2026,Almost Fall,b006,Decorative Accents,TRUE,"Brown, in objects",10,10,Echasse Vase,Audo Copenhagen,https://us.audocph.com/products/echasse-vase,,285,USD,in_stock,2026-06-06,
almost-fall-2026,Almost Fall,b006,Decorative Accents,TRUE,"Brown, in objects",11,11,Love Handles Ceramic Vase,Anissa Kermiche,https://www.net-a-porter.com/en-us/shop/product/anissa-kermiche/lifestyle/vases/love-handles-ceramic-vase/13452677152133287,,202,USD,in_stock,2026-06-07,
almost-fall-2026,Almost Fall,b006,Decorative Accents,TRUE,"Brown, in objects",12,12,Pomponette Vase,Maison Balzac,https://us.maisonbalzac.com/collections/shop-all-collection/products/pomponette-vase-indigo,,145,USD,in_stock,2026-06-07,
almost-fall-2026,Almost Fall,b006,Decorative Accents,FALSE,,,13,Brass Octagonal Tray,Hawkins New York,https://hawkinsnewyork.com/products/brass-octagonal-tray,,18.0,USD,in_stock,2026-08-10,
almost-fall-2026,Almost Fall,b006,Decorative Accents,FALSE,,,14,Cruz Vase,Hawkins New York,https://hawkinsnewyork.com/products/cruz-vase,,52.0,USD,in_stock,2026-08-10,
